SYMBOL,PRICE,TARGET,SCORE,RSI,DEBT_EQUITY,SECTOR,VOL_SURGE
CARERATING,1560.5,1794.57,8,51.16,0.03,Financial Services,1.07
CARRARO,480.6,552.69,8,51.73,0.37,Consumer Cyclical,0.54
CARTRADE,1816.2,2088.63,8,50.93,0.05,Consumer Cyclical,0.65
CARYSIL,830.0,954.5,8,51.42,0.42,Consumer Cyclical,0.82
CASTROLIND,179.42,206.33,8,50.74,0.03,Energy,0.8
CCCL,16.2,18.63,8,56.74,0.0,Industrials,0.56
CCHHL,12.97,14.92,8,59.12,0.07,Consumer Cyclical,0.84
CCL,1075.9,1237.29,10,52.38,0.78,Consumer Defensive,1.57
CDSL,1279.3,1471.2,8,56.5,0.0,Financial Services,1.22
CEATLTD,3544.0,4075.6,8,51.74,0.68,Consumer Cyclical,0.79
CEIGALL,290.25,333.79,8,61.02,0.69,Industrials,0.76
CELEBRITY,7.42,8.53,6,52.44,5.65,Consumer Cyclical,0.32
CELLO,414.8,477.02,8,49.54,0.0,Consumer Cyclical,1.03
CENTENKA,421.15,484.32,8,54.63,0.03,Consumer Cyclical,0.78
CENTEXT,20.39,23.45,8,56.19,0.64,Basic Materials,0.64
CENTRALBK,35.02,40.27,8,50.26,0.0,Financial Services,0.6
CENTRUM,28.39,32.65,6,57.79,3.08,Financial Services,0.17
CENTUM,2744.8,3156.52,6,50.9,0.54,Technology,0.88
CENTURYPLY,735.95,846.34,8,58.22,0.66,Basic Materials,0.36
CERA,5033.7,5788.76,6,60.06,0.04,Industrials,0.42
CEREBRAINT,4.92,5.66,6,61.47,0.3,Industrials,0.28
CESC,156.61,180.1,8,55.63,1.41,Utilities,0.48
CEWATER,312.25,359.09,8,57.34,0.3,Utilities,0.22
CGCL,177.91,204.6,6,57.41,2.52,Financial Services,0.19
CGPOWER,720.6,828.69,10,58.12,0.02,Industrials,0.89
CHALET,754.4,867.56,8,49.6,0.73,Consumer Cyclical,0.29
CHAMBLFERT,455.15,523.42,8,56.64,0.01,Basic Materials,1.2
CHEMBOND,147.27,169.36,8,59.98,0.04,Basic Materials,1.05
CHEMCON,148.54,170.82,8,48.44,0.0,Basic Materials,0.43
CHEMFAB,367.65,422.8,8,52.76,0.29,Basic Materials,1.72
CHEMPLASTS,242.05,278.36,2,41.04,0.97,Basic Materials,0.71
CHENNPETRO,983.35,1130.85,8,51.97,0.22,Energy,0.42
CHEVIOT,1047.5,1204.62,6,61.7,0.01,Consumer Cyclical,0.48
CHOICEIN,686.15,789.07,6,54.72,0.36,Financial Services,1.1
CHOLAFIN,1533.1,1763.06,6,52.46,7.24,Financial Services,0.93
CHOLAHLDNG,1581.2,1818.38,6,56.07,6.35,Financial Services,1.38
CIEINDIA,479.6,551.54,10,58.53,0.06,Consumer Cyclical,1.53
